clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,479.7519720990648,680.7103827999315,4.495945434233885,1958.2,183.79814670754445,1.70111152
4,486.9799817717018,759.2200672501515,5.559117620491444,2410.4,233.68941370361935,1.8208906800000002
6,487.8251695177901,709.5027058584724,1.8769114710536972,1281.6,104.38824990875737,2.35438136
8,499.62672709874994,690.9828995360742,1.6196680420159466,1053.2,81.3778022149922,2.8692175
10,494.9989938994621,688.058856817726,2.3126254631006424,1621.8,130.53593620228634,2.99969488
12,499.7931988025898,684.00399437275,1.2724546465671849,1091.6,82.07768899040849,3.11956754
14,500.82280756694456,685.1744713295307,1.3058241083898894,1018.2,77.39076703844533,3.56067802
16,502.83316413242136,672.7064184308763,1.0157859738520276,931.8,71.61076810670185,3.20540504
18,499.3284597802987,681.0093721042467,1.0725341968368336,1034.6,78.0093438683343,3.88899744
20,501.25111785672135,665.6936507273914,1.2621538493631725,1145.6,88.5932743686666,4.38189308
22,501.15404512056983,686.9078166400701,1.0433924949513336,998.2,74.79568180275349,4.069505980000001
24,506.34681604714353,673.1489487029082,0.752543100743915,917.2,67.23122234656628,5.23139628
26,500.67481972244695,672.9702137296222,1.0073246446645765,985.2,75.06985313378509,5.4998299
28,506.25030309207006,665.7014156691979,0.532905264491054,751.6,55.049646477230546,4.827299299999999
30,502.65729890247314,657.996407968647,0.6422855002711779,864.2,63.79234634100944,6.029954439999999
32,504.3176245263245,670.9135388090278,0.5490626296115255,792.2,57.33771791817418,6.81989528
34,504.6660682460465,662.3142252229247,0.49673932979128627,751.0,54.13099625972401,6.920086159999999
36,504.38568573576623,675.7001051763839,0.7105130958515496,920.6,67.46058341251052,6.884260360000001
38,506.9312308517606,672.6898803067068,0.46847178068311646,711.4,52.216359942445834,9.272848280000002
40,506.7876685848194,656.5672861512378,0.4351487158512784,737.4,53.88253499155651,6.898743980000001
42,505.81347108324564,677.2836128640887,0.4452635920621816,684.8,50.567244060123016,6.610025899999999
44,507.4479011363417,667.7844460923258,0.3050778718449684,650.4,46.99020938698322,7.3091241
46,504.14791528761253,665.083030806188,0.5560375858268963,832.2,60.40356799443972,6.91735662
48,506.1974911010466,656.8231937139706,0.3858778515005178,669.0,48.92553814923049,7.29945534
50,505.99298764239285,669.2487379296169,0.38070589051603065,755.2,54.648636611962296,7.7192703
52,507.13778909100586,668.2500545956761,0.3991607697471328,673.0,48.59542494590374,7.60100056
57,505.26180664423475,642.9386993051307,0.29538270107252884,609.0,44.04049897446989,7.099294759999999
62,508.67184327437974,661.3702572731954,0.3443456392001552,606.4,44.02018961828363,7.91106242
67,509.9987921486224,652.5140106034495,0.2470907555565361,595.4,42.92055626325674,8.43923144
72,504.5981699359393,656.5806313397632,0.2862900506626601,647.8,46.809083329072614,9.24821022
77,507.5226623285879,655.549186661838,0.2201320796851856,604.4,43.41736155223192,9.55952514
82,508.8329028894833,655.0309448824282,0.14769736510053894,490.6,36.18230240281211,9.594133160000002
87,510.71270542130077,657.3593741600147,0.07700018529641309,413.8,30.8818192603649,10.632552200000001
92,510.7942472717192,662.8784204314449,0.17198339631524717,474.8,34.50551723047999,10.9774393
97,509.9277660874815,650.503012985731,0.1926717250377606,540.8,39.679962302627395,11.10348362
102,509.9413588343483,651.3799257032867,0.1748278338714754,457.0,33.70152095473155,11.39331778
107,507.6704608238003,658.5908904121277,0.14609937509907206,512.4,37.37353706551538,12.15747532
112,508.86606089938266,656.0132700482413,0.11950734467659922,485.6,35.42874533417992,12.16120616
117,510.15880828427237,655.4698548544569,0.14381202040122967,511.2,37.10296909269338,12.78368696
122,509.4691985724753,654.7138499086967,0.10167642091096263,483.0,35.34381977008803,12.95002652
127,509.14327335149864,649.6451330527304,0.12631568129035609,494.8,36.30047471971849,13.419514900000001
132,509.9497567063794,655.9553456682281,0.11685803200653547,487.8,36.018416242816414,13.899211580000003
137,510.3668491973741,653.8864370597463,0.08524808773769348,461.8,34.14822169509946,14.093050700000001
142,509.7344124599434,651.6122891197589,0.09055564372623102,473.4,34.518972902039934,14.499978720000001
147,511.81927730848247,649.251114280539,0.04812635980266979,399.6,29.871894479112818,15.26818596
152,509.94125348864753,660.8009941990779,0.10807377049952922,486.4,35.51673537650373,15.257919079999999
157,509.5144432796669,655.219523779544,0.11066876696375239,482.2,35.07581203186958,16.18244686
162,510.7244146954628,657.2224101069316,0.08123110525276461,440.4,32.6438248646054,16.8067701
167,510.02477899358075,654.6480964277767,0.07298609983504825,442.0,32.55440436594685,16.728136839999998
172,512.1837503081724,648.9404004762746,0.05256521362799528,401.2,29.801654928591887,17.99418958
177,510.46985065132833,657.6099293931453,0.10033109995831893,480.8,35.13125106744824,18.20745488
182,508.88344705124416,656.9817283295931,0.07398632730219787,448.2,33.022395067917486,18.79114274
187,509.5075467985527,656.1178962307384,0.07600254133068796,452.6,33.246638822197355,19.86140576
192,510.78740920485325,655.9495265372791,0.05923061803470882,416.6,30.93181663428365,20.36237404
197,511.2054643113459,650.9499713892058,0.05084800112367882,424.0,31.456157908554935,20.784706839999995
202,510.9625740476311,654.9614757309241,0.04252688794413828,421.0,31.250009350173748,21.25303526
227,508.42004736509335,653.683228069614,0.04246391242906969,447.6,32.966607114378846,23.445244159999998
252,509.47829222485126,655.7933337292625,0.07220225738063214,458.8,33.58398011761037,25.38416528
277,509.99041100881834,655.6355021502194,0.035815360918063,420.8,31.19328212521584,26.860798139999996
302,510.05612269875957,654.6074258016708,0.04332239127017211,432.4,31.941964161661396,29.82857888
327,510.06104206366416,655.2080981548495,0.031347872322251946,418.2,31.001797151740924,32.46146622
352,511.2534299325769,651.8774653768908,0.016554160082144016,374.0,28.3643525608612,37.19080138
377,511.36028024472887,652.3353726986909,0.017836713558623173,389.8,29.196373938798025,39.6642209
402,510.12917606057437,652.6808704875601,0.02282682834722838,413.8,30.62420691625605,41.43864166
552,511.8703558218209,652.9435468921874,0.01508071202755697,366.2,27.763942683240735,58.937709940000005
702,511.79528954783365,651.3558882829553,0.006337081505317696,360.8,27.446389298778968,78.44080792000001
852,512.202255375036,651.0027162197819,0.0024523550251721064,346.2,26.511824612093186,98.8891307
1002,512.1296886753838,649.9906459768653,0.001125838195489975,336.4,25.86974756124398,116.52429113999999
