clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,495.314760191048,645.8308904495958,1.755927328150528,1132.0,81.81640678269403,4.7991002
4,443.4890099586698,694.3041371054717,7.9127606582088115,4037.0,435.5437907994071,2.4406709
6,472.68444780147024,562.6617312897823,2.69613810453564,1126.0,78.15756547657955,1.4867534
8,471.8459248205668,675.6591999254736,2.575489023954651,1805.0,142.2025370835895,1.6497323
10,481.5783116848741,665.6217539315923,2.5527240889412806,1743.0,137.26478757117607,1.8802665
12,455.5954251370588,676.2920321471934,4.025522251290972,2727.0,240.9398225901781,1.8618678
14,475.4143367434417,618.8206843771111,1.7261675515349981,1403.0,102.19898796914552,1.9375386
16,476.5144007209269,656.8343416694212,1.6736851030253008,1399.0,105.74944745978596,1.7532331
18,484.7476498070802,618.496161702278,0.5203433749555998,617.0,45.93838159281852,1.7336951
20,475.20580679850315,617.8609416749712,1.5850291203791227,1469.0,105.52204682191345,1.8780162
22,483.97530573415906,605.0353723430852,0.3148308851248574,400.0,29.743184203846255,1.9028528
24,490.2295624731191,587.9385397601001,0.49828363422047073,304.0,22.558220340943222,2.0694024
26,482.4106572358562,604.0750472755719,0.7603285360174096,941.0,66.37619348868026,3.4338098
28,491.4936192667296,629.3917686836443,0.3583769944871811,703.0,50.25266463935814,2.1204745
30,489.4771797229984,560.0095819004291,0.8601478700814067,662.0,46.81844699542452,2.2261522
32,484.71536232288327,606.4761911775502,0.3749895161533729,584.0,42.68326054424333,3.9280803
34,482.9866463390463,618.81444346154,0.6409377001112727,806.0,58.95639488322463,2.3598347
36,485.4700633664573,591.4712830538668,0.535868720330576,604.0,43.641143814572736,2.7370563
38,485.4345847177328,615.3698853615776,0.4648091095282074,618.0,44.49435277823918,2.7873716
40,487.0591668455061,559.8752645963557,1.1573715270437586,389.0,26.932210177001373,2.8716589
42,488.6076678036705,599.8130885758449,0.3627377471475872,639.0,45.80148684854642,2.8662912
44,490.6709309924301,614.0979443583848,0.45776399395120565,587.0,42.49854435889016,4.2918484
46,484.681550925701,602.9511226505319,0.3718549668966436,619.0,44.53272858769287,2.9776772
48,486.12312669703147,629.1405747427643,0.5118281206635711,903.0,64.55955960573753,3.1695508
50,494.19437133772885,585.267137712881,0.3497843652094234,400.0,28.50304944277337,3.1144794
52,483.9257051694861,591.2616037066791,0.48708474468325336,743.0,51.61620688589439,4.5280731
62,493.9507977599755,609.2157849761352,0.18988822181173343,402.0,28.91110568759416,4.3239191
72,485.77323936920715,590.6020253971075,0.3484030349730774,531.0,37.8341230708221,3.8580645
82,489.3592853757596,609.7933644516531,0.2348715295410234,496.0,35.26050564145336,3.9453275
92,486.4161951962642,589.7229660346904,0.37986803617677,496.0,35.42936883365295,4.4138394
102,487.6457638580386,588.0211240480569,0.2977094551695596,517.0,36.06082387983471,6.0924656
112,486.43125649302783,588.477314196542,0.4214236261548948,495.0,35.29036545341248,4.8335407
122,490.4775567668167,603.1615560638544,0.3222304094192884,484.0,35.622129915802525,7.0734179
132,491.5552152312231,582.6840699081608,0.4576402897345568,415.0,29.559094899424807,6.23197
142,489.07160111486377,593.7388351215968,0.2698429866487928,473.0,33.51848279057633,8.0386554
152,490.664981612,601.980265485726,0.1995930667725887,506.0,35.877608708505925,7.1445181
202,486.3371826523811,600.7796867208226,0.2925516655890918,582.0,41.65552261383291,10.8271785
252,492.0893156508963,589.50856495708,0.30785303064728303,431.0,30.466857904148014,10.6838527
302,490.5734144910401,600.167847792359,0.23463466870869273,429.0,30.90870161359915,14.602252
352,489.2003815787577,601.3787651923922,0.21374748411543734,468.0,33.2019575865583,20.0586914
402,490.03543332991995,594.1595359334992,0.2720738560275009,415.0,29.59810994920788,20.6398519
552,492.4917004386059,591.731611266443,0.2766675315217131,396.0,27.911484626253873,31.9861177
702,491.7363268364543,588.9535407146542,0.2719413918349926,400.0,27.969323446626927,39.3113982
852,490.66914026300134,594.0240469881711,0.25938732732731745,382.0,27.33062476785897,51.2978689
1002,491.6465072693463,590.5255714478225,0.27901528538203785,350.0,25.559463454197868,62.217673
