clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,512.2549848310546,802.5562520362963,6.912187121456171,2227.0,215.0015598863812,3.2950682
4,472.8278137874966,763.5779654989805,5.145109979658312,2550.0,245.8762085750413,3.9517598
6,503.3145258479169,718.738660439441,3.5645353319469977,2118.0,178.33929925089484,4.6409112
8,481.30071397199833,708.4412967230559,3.0326596800946133,2053.0,170.3062152205094,3.3809971
10,469.4335344218419,730.5871970208736,3.5084354811478105,2405.0,212.60576220074648,4.0121938
