clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,482.17296425839794,664.4555783108996,3.0943077978668905,1367.0,98.81016790510824,3.1387121
4,503.58094011882895,692.2615559846448,0.7491676847249064,359.0,26.953879057159963,3.9025076
6,487.639037948489,728.3931177704332,2.499531684839461,1344.0,112.350106466413,3.9754658
8,471.7057382018693,679.3360416749182,2.903992977193674,2118.0,169.7024355189579,4.8652592
10,507.60088435947375,691.9617498319197,1.335838748898356,1265.0,94.2260892408247,1.8252032
