clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,512.9249937422838,795.3724900343171,6.282046170705933,2127.0,200.1199396589519,4.5383499
4,498.2080204054126,746.8848244981687,3.420960415282014,1343.0,113.09416761576776,4.4647786
6,470.56817457427525,680.1540458080062,3.6469360119371417,2292.0,187.8406875144741,4.2107949
8,504.4167806524262,696.6905267167557,1.1334902846280925,819.0,61.29204890473481,3.3701211
10,499.7662308755029,694.9799506028525,0.8969447583611042,543.0,40.798633563919346,4.2493946
