clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,482.17296425839794,664.4555783108996,3.094307797867334,1375.0,98.81016790510824,4.6381709
4,487.11774586501684,760.0570434571478,4.089841945730012,1488.0,123.74187616345472,5.123155
6,482.86219267616326,713.3771044904656,2.790295110544788,1797.0,143.04823172117963,5.3291482
8,499.70294790983763,641.5493336936368,1.0915814637096404,519.0,40.07563487291994,10.4267309
10,484.4829422722716,693.4248204769826,3.6313202706464507,2455.0,213.05255051466315,10.4701007
