clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,512.637692852839,795.3724900343169,6.282046170705933,2127.0,200.11993965895118,3.5445827
4,459.8165946415097,773.6164658461449,7.073003737508973,3350.0,374.162407762351,3.9642478
6,487.8494108243899,683.8236190069523,0.663571466500447,555.0,41.32532010761484,4.8760354
8,458.68840090782464,718.5139708345123,5.280776168892266,3235.0,316.2655316923062,4.6636775
10,501.53086661703225,662.1348371834263,1.242838885665556,1093.0,80.91343072914202,3.9749119
