clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,495.314760191048,645.8308904495958,1.755927328150528,1132.0,81.81640678269403,2.2657447
4,443.4890099586698,694.3041371054717,7.9127606582088115,4037.0,435.5437907994071,4.465504
6,472.68444780147024,562.6617312897823,2.69613810453564,1126.0,78.15756547657955,4.0991104
8,471.8459248205668,675.6591999254736,2.575489023954651,1805.0,142.2025370835895,4.282515
10,481.5783116848741,665.6217539315923,2.5527240889412806,1743.0,137.26478757117607,6.8944338
